=== PLATFORM 1 ===
84 1000 Platform resources/sprites/Platform/platform_3.png
132 1000 Platform resources/sprites/Platform/platform_3.png
180 1000 Platform resources/sprites/Platform/platform_3.png
228 1000 Platform resources/sprites/Platform/platform_3.png
276 1000 Platform resources/sprites/Platform/platform_3.png
324 1000 Platform resources/sprites/Platform/platform_3.png
372 1000 Platform resources/sprites/Platform/platform_3.png
420 1000 Platform resources/sprites/Platform/platform_3.png
468 1000 Platform resources/sprites/Platform/platform_3.png
516 1000 Platform resources/sprites/Platform/platform_3.png
564 1000 Platform resources/sprites/Platform/platform_3.png
612 1000 Platform resources/sprites/Platform/platform_3.png
660 1000 Platform resources/sprites/Platform/platform_3.png
708 1000 Platform resources/sprites/Platform/platform_3.png
756 1000 Platform resources/sprites/Platform/platform_3.png
804 1000 Platform resources/sprites/Platform/platform_3.png

=== PLATFORM 2 ===
84 850 Platform resources/sprites/Platform/platform_3.png
132 850 Platform resources/sprites/Platform/platform_3.png
180 850 Platform resources/sprites/Platform/platform_3.png
228 850 Platform resources/sprites/Platform/platform_3.png
276 850 Platform resources/sprites/Platform/platform_3.png
324 850 Platform resources/sprites/Platform/platform_3.png
372 850 Platform resources/sprites/Platform/platform_3.png
420 850 Platform resources/sprites/Platform/platform_3.png

600 850 Platform resources/sprites/Platform/platform_3.png
730 850 Platform resources/sprites/Platform/platform_3.png
770 850 Platform resources/sprites/Platform/platform_3.png

=== PLATFORM 3  ===
180 700 Platform resources/sprites/Platform/platform_3.png
228 700 Platform resources/sprites/Platform/platform_3.png
276 700 Platform resources/sprites/Platform/platform_3.png
324 700 Platform resources/sprites/Platform/platform_3.png
372 700 Platform resources/sprites/Platform/platform_3.png
420 700 Platform resources/sprites/Platform/platform_3.png
468 700 Platform resources/sprites/Platform/platform_3.png
516 700 Platform resources/sprites/Platform/platform_3.png
564 700 Platform resources/sprites/Platform/platform_3.png
600 700 Platform resources/sprites/Platform/platform_3.png
648 700 Platform resources/sprites/Platform/platform_3.png
690 700 Platform resources/sprites/Platform/platform_3.png



=== PLATFORM 4 ===
84 550 Platform resources/sprites/Platform/platform_3.png
132 550 Platform resources/sprites/Platform/platform_3.png
180 550 Platform resources/sprites/Platform/platform_3.png
228 550 Platform resources/sprites/Platform/platform_3.png
276 550 Platform resources/sprites/Platform/platform_3.png
324 550 Platform resources/sprites/Platform/platform_3.png
372 550 Platform resources/sprites/Platform/platform_3.png
420 550 Platform resources/sprites/Platform/platform_3.png
468 550 Platform resources/sprites/Platform/platform_3.png




=== PLATFORM 5 ===



373 400 Platform resources/sprites/Platform/platform_3.png
423 400 Platform resources/sprites/Platform/platform_3.png
470 400 Platform resources/sprites/Platform/platform_3.png
516 400 Platform resources/sprites/Platform/platform_3.png
564 400 Platform resources/sprites/Platform/platform_3.png
612 400 Platform resources/sprites/Platform/platform_3.png
660 400 Platform resources/sprites/Platform/platform_3.png
652 610 Platform resources/sprites/Platform/platform_3.png
700 610 Platform resources/sprites/Platform/platform_3.png
748 610 Platform resources/sprites/Platform/platform_3.png
795 610 Platform resources/sprites/Platform/platform_3.png



=== PLATFORM 6 ===
84 250 Platform resources/sprites/Platform/platform_3.png
132 250 Platform resources/sprites/Platform/platform_3.png
180 250 Platform resources/sprites/Platform/platform_3.png
228 250 Platform resources/sprites/Platform/platform_3.png
276 250 Platform resources/sprites/Platform/platform_3.png
324 250 Platform resources/sprites/Platform/platform_3.png
372 250 Platform resources/sprites/Platform/platform_3.png
420 250 Platform resources/sprites/Platform/platform_3.png
468 250 Platform resources/sprites/Platform/platform_3.png
516 250 Platform resources/sprites/Platform/platform_3.png
564 250 Platform resources/sprites/Platform/platform_3.png
612 250 Platform resources/sprites/Platform/platform_3.png
665 250 Platform resources/sprites/Platform/platform_3.png


=== PLATFORM BERIT ===
268 150 Platform resources/sprites/Platform/platform_3.png
316 150 Platform resources/sprites/Platform/platform_3.png
364 150 Platform resources/sprites/Platform/platform_3.png


=== LADDERS ===
550 278 Ladder resources/sprites/Ladders/Superior_Ladder.png
300 430 Ladder resources/sprites/Ladders/Superior_Ladder.png

515 730 Ladder resources/sprites/Ladders/Superior_Ladder.png
30 730 Ladder resources/sprites/Ladders/Superior_Ladder.png
30 580 Ladder resources/sprites/Ladders/Superior_Ladder.png

670 880 Ladder resources/sprites/Ladders/Superior_Ladder.png

=== Collision_Box ===
205 335 Collision_Box resources/sprites/Barrel/barrels.png

150 1023 Collision_Box resources/sprites/Barrel/barrel_oil.png


=== APAN JAN ===
110 225 Gorilla resources/sprites/Jan/Jan_sprite.png

=== BARRELS ===

=== BERIT ===
300 105 Berit resources/sprites/Berit/Berit_sprite.png

=== Hammer ===
500 470 Hammer resources/sprites/Hammer/hammer.png

=== PLAYER ===
200 972 Player resources/sprites/Mario_sprite/Hans.png
